2025-10-26T11:02:16.946+0800	INFO	svr/svr.go:101	Document manager started
2025-10-26T11:02:16.947+0800	INFO	imgagent/main.go:85	Server is running at :8000
2025-10-26T11:03:16.953+0800	INFO	HandleImageGenTasks-1761447796	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:03:16.990+0800	ERROR	HandleImageGenTasks-1761447796	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"aaeb1d10-d0a2-4188-944d-2aa8cffe7fe2"}
2025-10-26T11:03:16.990+0800	ERROR	HandleImageGenTasks-1761447796	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"aaeb1d10-d0a2-4188-944d-2aa8cffe7fe2"}
2025-10-26T11:03:16.990+0800	ERROR	HandleImageGenTasks-1761447796	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"aaeb1d10-d0a2-4188-944d-2aa8cffe7fe2"}
2025-10-26T11:03:46.946+0800	INFO	HandleImageGenTasks-1761447826	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:03:46.951+0800	INFO	HandleImageGenTasks-1761447826	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:03:46.951+0800	INFO	HandleImageGenTasks-1761447826	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:03:46.951+0800	INFO	HandleImageGenTasks-1761447826	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:03:46.993+0800	ERROR	HandleImageGenTasks-1761447826	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"2e7552ab-48e0-418a-917c-96557150b15b"}
2025-10-26T11:03:46.993+0800	ERROR	HandleImageGenTasks-1761447826	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"2e7552ab-48e0-418a-917c-96557150b15b"}
2025-10-26T11:03:46.993+0800	ERROR	HandleImageGenTasks-1761447826	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"2e7552ab-48e0-418a-917c-96557150b15b"}
2025-10-26T11:04:16.943+0800	INFO	HandleImageGenTasks-1761447856	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:04:16.945+0800	INFO	HandleImageGenTasks-1761447856	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:04:16.945+0800	INFO	HandleImageGenTasks-1761447856	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:04:16.945+0800	INFO	HandleImageGenTasks-1761447856	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:04:16.980+0800	ERROR	HandleImageGenTasks-1761447856	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"bc57bd3a-3c3d-472a-a84b-b422bd342e3a"}
2025-10-26T11:04:16.980+0800	ERROR	HandleImageGenTasks-1761447856	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"bc57bd3a-3c3d-472a-a84b-b422bd342e3a"}
2025-10-26T11:04:16.980+0800	ERROR	HandleImageGenTasks-1761447856	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"bc57bd3a-3c3d-472a-a84b-b422bd342e3a"}
2025-10-26T11:04:46.944+0800	INFO	HandleImageGenTasks-1761447886	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:04:46.947+0800	INFO	HandleImageGenTasks-1761447886	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:04:46.947+0800	INFO	HandleImageGenTasks-1761447886	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:04:46.947+0800	INFO	HandleImageGenTasks-1761447886	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:04:46.990+0800	ERROR	HandleImageGenTasks-1761447886	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"151b88d4-cd22-456d-8259-2fe3e0f9c4fa"}
2025-10-26T11:04:46.991+0800	ERROR	HandleImageGenTasks-1761447886	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"151b88d4-cd22-456d-8259-2fe3e0f9c4fa"}
2025-10-26T11:04:46.991+0800	ERROR	HandleImageGenTasks-1761447886	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"151b88d4-cd22-456d-8259-2fe3e0f9c4fa"}
2025-10-26T11:05:16.947+0800	INFO	HandleImageGenTasks-1761447916	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:05:16.951+0800	INFO	HandleImageGenTasks-1761447916	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:05:16.951+0800	INFO	HandleImageGenTasks-1761447916	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:05:16.951+0800	INFO	HandleImageGenTasks-1761447916	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:05:16.993+0800	ERROR	HandleImageGenTasks-1761447916	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b81abc57-86e3-4809-8924-c0aa254817cb"}
2025-10-26T11:05:16.994+0800	ERROR	HandleImageGenTasks-1761447916	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b81abc57-86e3-4809-8924-c0aa254817cb"}
2025-10-26T11:05:16.994+0800	ERROR	HandleImageGenTasks-1761447916	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b81abc57-86e3-4809-8924-c0aa254817cb"}
2025-10-26T11:05:46.946+0800	INFO	HandleImageGenTasks-1761447946	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:05:46.950+0800	INFO	HandleImageGenTasks-1761447946	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:05:46.950+0800	INFO	HandleImageGenTasks-1761447946	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:05:46.950+0800	INFO	HandleImageGenTasks-1761447946	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:05:46.993+0800	ERROR	HandleImageGenTasks-1761447946	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"c109b778-4a22-47cc-81f7-b6ff8550af37"}
2025-10-26T11:05:46.994+0800	ERROR	HandleImageGenTasks-1761447946	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"c109b778-4a22-47cc-81f7-b6ff8550af37"}
2025-10-26T11:05:46.994+0800	ERROR	HandleImageGenTasks-1761447946	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"c109b778-4a22-47cc-81f7-b6ff8550af37"}
2025-10-26T11:06:16.946+0800	INFO	HandleImageGenTasks-1761447976	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:06:16.950+0800	INFO	HandleImageGenTasks-1761447976	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:06:16.950+0800	INFO	HandleImageGenTasks-1761447976	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:06:16.950+0800	INFO	HandleImageGenTasks-1761447976	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:06:16.988+0800	ERROR	HandleImageGenTasks-1761447976	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"23cd29b1-85ee-4f7e-b28e-e8395d3eaef5"}
2025-10-26T11:06:16.988+0800	ERROR	HandleImageGenTasks-1761447976	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"23cd29b1-85ee-4f7e-b28e-e8395d3eaef5"}
2025-10-26T11:06:16.988+0800	ERROR	HandleImageGenTasks-1761447976	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"23cd29b1-85ee-4f7e-b28e-e8395d3eaef5"}
2025-10-26T11:06:46.946+0800	INFO	HandleImageGenTasks-1761448006	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:06:46.951+0800	INFO	HandleImageGenTasks-1761448006	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:06:46.951+0800	INFO	HandleImageGenTasks-1761448006	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:06:46.951+0800	INFO	HandleImageGenTasks-1761448006	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:06:46.994+0800	ERROR	HandleImageGenTasks-1761448006	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"0ab22d11-26df-49df-b5be-5b2b21134f06"}
2025-10-26T11:06:46.994+0800	ERROR	HandleImageGenTasks-1761448006	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"0ab22d11-26df-49df-b5be-5b2b21134f06"}
2025-10-26T11:06:46.994+0800	ERROR	HandleImageGenTasks-1761448006	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"0ab22d11-26df-49df-b5be-5b2b21134f06"}
2025-10-26T11:07:16.942+0800	INFO	HandleImageGenTasks-1761448036	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:07:16.945+0800	INFO	HandleImageGenTasks-1761448036	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:07:16.945+0800	INFO	HandleImageGenTasks-1761448036	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:07:16.945+0800	INFO	HandleImageGenTasks-1761448036	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:07:16.979+0800	ERROR	HandleImageGenTasks-1761448036	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"896e39fc-be68-4466-98ad-57c49482e6c9"}
2025-10-26T11:07:16.979+0800	ERROR	HandleImageGenTasks-1761448036	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"896e39fc-be68-4466-98ad-57c49482e6c9"}
2025-10-26T11:07:16.979+0800	ERROR	HandleImageGenTasks-1761448036	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"896e39fc-be68-4466-98ad-57c49482e6c9"}
2025-10-26T11:07:46.945+0800	INFO	HandleImageGenTasks-1761448066	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:07:46.950+0800	INFO	HandleImageGenTasks-1761448066	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:07:46.950+0800	INFO	HandleImageGenTasks-1761448066	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:07:46.950+0800	INFO	HandleImageGenTasks-1761448066	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:07:46.986+0800	ERROR	HandleImageGenTasks-1761448066	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"2dcfe871-c0ce-4630-844a-d93c720363a0"}
2025-10-26T11:07:46.986+0800	ERROR	HandleImageGenTasks-1761448066	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"2dcfe871-c0ce-4630-844a-d93c720363a0"}
2025-10-26T11:07:46.987+0800	ERROR	HandleImageGenTasks-1761448066	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"2dcfe871-c0ce-4630-844a-d93c720363a0"}
2025-10-26T11:08:16.946+0800	INFO	HandleImageGenTasks-1761448096	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:08:16.950+0800	INFO	HandleImageGenTasks-1761448096	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:08:16.950+0800	INFO	HandleImageGenTasks-1761448096	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:08:16.950+0800	INFO	HandleImageGenTasks-1761448096	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:08:16.992+0800	ERROR	HandleImageGenTasks-1761448096	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"92314a15-c6dc-4b67-9943-e6c5d73396e7"}
2025-10-26T11:08:16.992+0800	ERROR	HandleImageGenTasks-1761448096	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"92314a15-c6dc-4b67-9943-e6c5d73396e7"}
2025-10-26T11:08:16.992+0800	ERROR	HandleImageGenTasks-1761448096	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"92314a15-c6dc-4b67-9943-e6c5d73396e7"}
2025-10-26T11:08:46.947+0800	INFO	HandleImageGenTasks-1761448126	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:08:46.951+0800	INFO	HandleImageGenTasks-1761448126	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:08:46.951+0800	INFO	HandleImageGenTasks-1761448126	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:08:46.951+0800	INFO	HandleImageGenTasks-1761448126	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:08:47.001+0800	ERROR	HandleImageGenTasks-1761448126	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b372c9eb-8ca7-44b4-8d30-7ea1e52d3f97"}
2025-10-26T11:08:47.002+0800	ERROR	HandleImageGenTasks-1761448126	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b372c9eb-8ca7-44b4-8d30-7ea1e52d3f97"}
2025-10-26T11:08:47.002+0800	ERROR	HandleImageGenTasks-1761448126	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b372c9eb-8ca7-44b4-8d30-7ea1e52d3f97"}
2025-10-26T11:09:16.943+0800	INFO	HandleImageGenTasks-1761448156	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:09:16.946+0800	INFO	HandleImageGenTasks-1761448156	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:09:16.946+0800	INFO	HandleImageGenTasks-1761448156	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:09:16.946+0800	INFO	HandleImageGenTasks-1761448156	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:09:16.981+0800	ERROR	HandleImageGenTasks-1761448156	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"10737cbd-913f-4332-958b-224d802762e9"}
2025-10-26T11:09:16.981+0800	ERROR	HandleImageGenTasks-1761448156	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"10737cbd-913f-4332-958b-224d802762e9"}
2025-10-26T11:09:16.981+0800	ERROR	HandleImageGenTasks-1761448156	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"10737cbd-913f-4332-958b-224d802762e9"}
2025-10-26T11:09:46.942+0800	INFO	HandleImageGenTasks-1761448186	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:09:46.944+0800	INFO	HandleImageGenTasks-1761448186	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:09:46.944+0800	INFO	HandleImageGenTasks-1761448186	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:09:46.944+0800	INFO	HandleImageGenTasks-1761448186	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:09:46.979+0800	ERROR	HandleImageGenTasks-1761448186	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"07d90066-1e00-48c7-97f2-b0651bae8f52"}
2025-10-26T11:09:46.979+0800	ERROR	HandleImageGenTasks-1761448186	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"07d90066-1e00-48c7-97f2-b0651bae8f52"}
